CorrectNote,SelectedNote,PlayAgainCount,time
61,4,0,16:59.1
61,5,0,17:04.6
61,6,0,17:05.7
61,7,0,17:07.7
61,8,0,17:08.8
61,9,0,17:09.7
61,10,0,17:10.7
61,11,0,17:11.2
61,0,0,17:13.3
61,1,0,17:14.1
54,6,2,18:08.5
70,4,2,18:26.9
70,5,2,18:28.3
70,6,2,18:31.7
70,2,5,18:46.0
70,3,5,18:46.8
70,11,6,19:03.8
70,0,6,19:05.2
70,1,6,19:06.1
70,10,6,19:07.6
50,0,7,19:49.0
50,1,7,19:53.0
50,11,7,19:54.9
50,10,7,19:56.3
50,2,7,20:31.4
79,4,6,21:52.1
79,5,6,21:53.4
79,3,6,21:54.3
79,8,7,22:40.2
79,9,7,22:41.1
79,10,7,22:41.7
79,7,7,22:43.5
69,4,3,22:52.5
69,2,4,22:54.7
69,3,4,22:55.6
69,5,4,22:56.6
69,6,4,22:57.4
69,10,6,23:04.9
69,8,6,23:05.9
69,9,6,23:06.5
57,9,0,23:08.3
41,3,5,23:30.6
41,4,7,24:29.1
41,5,7,24:29.9
60,0,3,25:04.2
52,2,10,26:12.7
52,3,14,26:27.5
52,6,16,26:45.2
52,7,17,26:51.8
52,8,17,26:59.1
52,9,17,27:02.0
52,10,17,27:04.9
52,11,17,27:07.5
52,1,17,27:27.2
52,5,17,27:31.2
52,4,17,27:32.0
73,10,11,28:24.2
73,9,11,28:25.0
73,11,13,28:31.6
73,0,13,28:33.0
73,2,14,28:42.5
73,3,14,28:45.6
73,4,14,28:47.5
73,6,14,28:50.5
73,5,14,28:52.1
73,7,14,28:55.0
73,8,14,28:58.8
73,1,14,29:02.6
31,11,9,30:01.1
31,10,9,30:02.0
31,9,9,30:02.5
31,8,9,30:06.9
31,7,9,30:10.3
66,4,8,30:41.9
66,5,8,30:42.6
66,6,8,30:43.5
48,1,14,31:18.1
48,11,14,31:25.8
48,10,14,31:26.7
48,9,14,31:27.3
48,8,14,31:27.9
48,0,14,31:29.5
77,4,4,31:41.1
77,10,6,31:50.9
77,9,7,31:56.2
77,8,7,31:56.8
77,7,7,31:57.4
77,6,7,31:58.0
77,5,7,31:58.6
53,11,11,32:40.5
53,10,11,32:41.2
53,9,11,32:41.9
53,8,12,33:02.7
53,2,13,33:11.2
53,3,13,33:13.7
53,1,13,33:16.0
53,4,13,33:17.3
53,5,13,33:19.8
80,4,4,33:53.4
80,0,4,33:54.4
80,9,4,33:55.8
80,11,4,33:56.5
80,2,14,34:16.9
80,3,14,34:18.3
80,1,14,34:19.6
80,5,14,34:20.9
80,6,14,34:21.6
80,7,14,34:22.8
80,8,14,34:24.0
69,5,6,34:49.1
69,4,7,34:52.4
69,3,7,34:53.1
69,2,8,34:54.7
69,6,9,34:56.3
69,7,9,34:57.0
69,8,9,34:57.7
69,9,9,34:58.5
54,8,1,35:14.9
54,7,1,35:15.9
54,6,1,35:16.7
37,7,8,36:04.7
37,8,8,36:05.4
37,9,8,36:05.9
37,10,8,36:06.5
37,11,8,36:07.1
37,0,8,36:08.2
37,1,8,36:08.8
82,2,1,36:31.1
82,3,1,36:31.7
82,1,1,36:32.6
82,0,1,36:33.2
82,4,1,36:33.9
82,5,1,36:34.5
82,6,1,36:35.2
82,7,1,36:35.8
82,8,1,36:36.5
82,9,1,36:37.2
82,10,1,36:37.8
62,4,0,51:44.2
62,2,2,45:01.2
66,4,4,32:12.7
66,2,4,32:14.5
66,6,4,32:25.7
56,4,2,32:49.9
56,8,2,32:50.5
37,0,9,33:33.5
37,6,11,33:49.2
37,5,11,33:50.1
37,10,17,34:12.4
37,2,17,34:18.8
37,3,17,34:24.3
37,4,18,34:26.4
37,1,19,34:28.0
28,5,13,35:23.6
28,6,13,35:24.0
28,1,19,36:03.9
28,2,20,36:06.0
28,3,21,36:08.2
28,4,21,36:08.8
62,4,15,36:52.1
62,2,21,37:26.7
76,5,2,37:30.8
76,4,2,37:31.3
79,8,9,37:54.4
79,9,9,37:55.0
79,7,9,37:55.5
78,6,0,38:00.9
42,5,6,38:37.8
42,6,6,38:38.9
73,7,17,39:20.7
73,10,17,39:28.2
73,11,17,39:30.3
73,8,17,39:31.3
73,9,17,39:31.7
73,0,17,39:33.2
73,1,17,39:33.7
57,1,0,41:47.5
57,7,4,41:57.3
57,9,4,41:58.5
74,6,1,42:02.4
74,8,1,42:03.2
74,1,1,42:04.7
74,3,1,42:05.9
74,10,1,42:07.0
74,9,1,42:07.5
74,7,1,42:08.2
74,5,1,42:09.1
74,4,1,42:09.7
74,2,1,42:10.6
44,2,4,42:24.9
44,11,5,42:32.7
44,5,5,42:37.3
44,6,5,42:37.6
44,7,5,42:38.4
44,8,5,42:39.0
46,9,1,42:41.0
46,10,1,42:41.8
57,0,8,43:31.9
57,1,8,43:32.6
57,2,9,43:34.8
57,3,9,43:35.4
57,4,9,43:35.8
57,5,9,43:36.4
57,6,9,43:36.9
57,7,9,43:37.9
57,8,9,43:38.6
57,9,9,43:39.1
75,6,1,43:43.6
75,8,1,43:44.4
75,10,1,43:45.1
75,3,1,43:45.9
59,1,0,43:46.3
59,4,4,49:28.6
59,7,6,49:41.1
59,9,6,49:42.2
59,11,6,49:44.3
29,6,23,51:31.2
29,5,23,51:31.8
63,4,0,51:36.3
63,7,1,51:38.4
63,9,1,51:38.9
63,5,1,51:42.2
63,0,1,51:45.0
63,2,1,51:45.5
63,11,1,51:47.4
63,10,1,51:49.9
63,6,2,52:02.2
63,1,2,52:10.3
63,8,2,52:11.3
63,3,2,52:16.2
77,3,0,52:18.0
77,4,1,52:20.6
77,5,1,52:21.2
54,6,2,52:27.7
56,4,6,02:48.2
56,3,9,03:16.8
56,2,9,03:17.4
56,1,9,03:18.1
56,5,9,03:18.8
56,6,9,03:19.4
56,7,9,03:19.8
56,8,9,03:20.4
31,7,2,03:35.9
35,1,2,03:44.8
35,9,2,03:45.9
35,10,2,03:47.0
35,11,2,03:47.7
44,8,0,03:50.0
52,10,1,04:03.8
52,3,1,04:04.9
52,1,1,04:05.5
52,6,1,04:06.5
52,8,1,04:07.1
52,4,8,04:55.5
52,4,0,04:56.4
69,4,4,05:14.9
69,7,4,05:16.2
69,2,4,05:17.6
69,3,4,05:17.9
69,6,4,05:18.8
69,8,4,05:19.3
69,9,4,05:20.0
80,4,0,05:44.6
80,3,0,05:46.1
80,7,0,05:46.9
80,8,0,05:47.3
66,4,0,55:00.5
66,6,0,55:09.0
74,11,2,55:31.4
74,0,2,55:32.7
74,1,2,55:34.0
74,3,2,55:37.0
74,2,2,55:37.6
