ID,CorrectNote,SelectedNote,PlayAgainCount,time,grouping,Notes,NotesIndex
,33,0,0,,C Major,,
,33,2,0,,C Major,,
,33,4,0,,C Major,,
,33,5,0,,C Major,,
,33,7,0,,C Major,,
,33,9,0,,C Major,,
,47,11,0,,C Major,,
,36,2,1,,C Major,,
,36,4,1,,C Major,,
,36,0,1,,C Major,,
,59,0,0,,C Major,,
,59,11,0,,C Major,,
,48,9,0,,C Major,,
,48,7,0,,C Major,,
,48,11,0,,C Major,,
,48,0,0,,C Major,,
,31,4,0,,Standard Tuning,,
,31,9,0,,Standard Tuning,,
,31,2,0,,Standard Tuning,,
,31,7,0,,Standard Tuning,,
,59,11,0,,Standard Tuning,,
,31,7,0,,Standard Tuning,,
,40,7,14,,Standard Tuning,,
,40,11,14,,Standard Tuning,,
,40,2,14,,Standard Tuning,,
,40,9,14,,Standard Tuning,,
,40,4,14,,Standard Tuning,,
,33,4,0,,Standard Tuning,,
,33,2,0,,Standard Tuning,,
,33,7,0,,Standard Tuning,,
,33,9,0,,Standard Tuning,,
,81,9,0,,Standard Tuning,,
,31,2,0,,Standard Tuning,,
,31,7,0,,Standard Tuning,,
,83,2,0,,Standard Tuning,,
,83,7,0,,Standard Tuning,,
,83,11,0,,Standard Tuning,,
,31,4,5,,Standard Tuning,,
,31,2,5,,Standard Tuning,,
,31,9,5,,Standard Tuning,,
,31,7,5,,Standard Tuning,,
,55,7,0,,Standard Tuning,,
,69,4,1,,Standard Tuning,,
,69,9,1,,Standard Tuning,,
,62,4,1,,Standard Tuning,,
,62,11,1,,Standard Tuning,,
,62,2,1,,Standard Tuning,,
,47,4,10,,Standard Tuning,,
,47,9,10,,Standard Tuning,,
,47,7,10,,Standard Tuning,,
,47,11,10,,Standard Tuning,,
,64,4,1,,Standard Tuning,,
,81,9,1,,Standard Tuning,,
,64,4,0,,Standard Tuning,,
,43,9,3,,Standard Tuning,,
,43,2,3,,Standard Tuning,,
,43,7,3,,Standard Tuning,,
,28,4,1,,Standard Tuning,,
,74,9,0,,Standard Tuning,,
,74,4,0,,Standard Tuning,,
,71,11,0,,Standard Tuning,,
,33,11,0,,Standard Tuning,,
,33,9,0,,Standard Tuning,,
,57,9,0,,Standard Tuning,,
,52,4,0,,Standard Tuning,,
,33,9,0,,Standard Tuning,,
,67,4,1,,Standard Tuning,,
,67,2,2,,Standard Tuning,,
,67,7,2,,Standard Tuning,,
,50,2,3,,Standard Tuning,,
,71,11,0,,Standard Tuning,,
,64,4,2,,Standard Tuning,,
,71,9,1,,Standard Tuning,,
,71,7,1,,Standard Tuning,,
,71,2,1,,Standard Tuning,,
,71,11,1,,Standard Tuning,,
,43,2,1,,Standard Tuning,,
,43,7,1,,Standard Tuning,,
,40,11,0,,Standard Tuning,,
,40,2,0,,Standard Tuning,,
,40,9,0,,Standard Tuning,,
,40,7,0,,Standard Tuning,,
,40,4,0,,Standard Tuning,,
,33,7,3,,Standard Tuning,,
,33,9,3,,Standard Tuning,,
,47,9,5,,Standard Tuning,,
,47,4,5,,Standard Tuning,,
,47,7,6,,Standard Tuning,,
,47,11,6,,Standard Tuning,,
,62,2,0,,Standard Tuning,,
,81,4,6,,Standard Tuning,,
